123,,,06/21/18,10:50:53,18220,3120,15080,kg
222,,,06/21/18,10:51:26,6100,3120,2960,kg
123,,,06/21/18,10:56:17,18220,3120,15080,kg
123,,,06/21/18,10:56:23,18220,3120,15080,kg
123,,,06/21/18,10:57:17,18220,2440,15760,kg
123,,,06/21/18,10:57:34,18220,2380,15840,kg
123,,,06/21/18,11:00:03,18220,2980,15240,kg
123,,,06/21/18,11:00:09,18220,2980,15240,kg
123,,,06/21/18,11:01:28,18220,2080,16120,kg
123,,,06/21/18,11:01:41,18220,2000,16220,kg
222,,,06/21/18,11:03:08,3340,3120,200,kg
222,,,06/21/18,11:03:20,3340,3340,0,kg
123,,,06/21/18,11:03:35,18220,3340,14880,kg
123,,,06/21/18,11:03:41,18220,3340,14880,kg
123,,,06/21/18,11:03:46,18220,3340,14880,kg
123,,,06/21/18,12:29:35,18220,13760,4440,kg
123,,,06/21/18,12:29:42,18220,13760,4440,kg
123,,,06/21/18,12:29:59,18220,2600,15600,kg
123,,,06/21/18,12:44:54,24900,18220,6680,kg
123,,,06/21/18,12:45:01,24900,18220,6680,kg
369,,,06/21/18,12:46:26,24900,24900,0,kg
357,,,06/21/18,12:46:35,24900,24900,0,kg
123,,,06/21/18,12:46:40,24900,18220,6680,kg
123,,,06/21/18,12:46:45,24900,18220,6680,kg
